Herkunftsland,Kontinent,Anzahl,,Geocoordinates,Formatted Address
Österreich,Europa,187,,"47.516231,14.550072",Austria
China,Asien,83,,"35.86166,104.195397",China
Deutschland,Europa,20,,"51.165691,10.451526",Germany
Indien,Asien,9,,"20.593684,78.96288",India
Ägypten,Afrika,6,,"26.820553,30.802498",Egypt
Ungarn,Europa,3,,"47.162494,19.5033041",Hungary
Rumänien,Europa,2,,"45.943161,24.96676",Romania
Kroatien,Europa,2,,"45.1,15.2000001",Croatia
Taiwan,Asien,2,,"23.69781,120.960515",Taiwan
Schweiz,Europa,1,,"46.818188,8.227511999999999",Switzerland
Großbritannien u. Nordirland,Europa,1,,"55.378051,-3.435973",United Kingdom
Serbien,Europa,1,,"44.016521,21.005859",Serbia
Polen,Europa,1,,"51.919438,19.145136",Poland
Bosnien-Herzeg.,Europa,1,,"43.915886,17.679076",Bosnia and Herzegovina
Italien,Europa,1,,"41.87194,12.56738",Italy
Lettland,Europa,1,,"56.879635,24.603189",Latvia
Türkei,Asien,1,,"38.963745,35.243322",Turkey
Iran,Asien,1,,"32.427908,53.688046",Iran
Spanien,Europa,1,,"40.46366700000001,-3.74922",Spain
Marokko,Afrika,1,,"31.791702,-7.092619999999999",Morocco
Bulgarien,Europa,1,,"42.733883,25.48583",Bulgaria
Slowakei,Europa,1,,"48.669026,19.699024",Slovakia
Jordanien,Asien,1,,"30.585164,36.238414",Jordan
