Name,Land,Kontinent,Adresse,Kategorie,Gewicht,Notiz,Geocoordinates,Elevation,Formatted Address
Montanuni Leoben,Österreich,Europa,"Franz‐Josef‐Straße 18, 8700 Leoben",Forschungspartner,2,,"47.3846991,15.0929492",540.6587524,"Franz Josef-Straße 18, 8700 Leoben, Austria"
Prime Aerostructures,Österreich,Europa,"Am Campus 1, 3400 Klosterneuburg",Forschungspartner,1,,"48.3130728,16.25859",268.4777832,"Am Campus 1, 3400 Klosterneuburg, Austria"
Profactor,Österreich,Europa,"Im Stadtgut A2, 4407 Steyr‐Gleink",Forschungspartner,1,,"48.0715645,14.4301289",308.0925293,"Im Stadtgut Zone A, 4407 Steyr, Austria"
Wild,Österreich,Europa,"Wildstraße 4, 9100 Völkermarkt",Forschungspartner,1,,"46.6608981,14.6447404",453.8484802,"Wildstraße 4, 9100 Völkermarkt, Austria"
Fotec,Österreich,Europa,"Viktor Kaplan‐Straße 2, 2700 Wiener Neustadt",Forschungspartner,1,,"47.8373309,16.2526272",268.0038757,"Viktor Kaplan-Straße 2, 2700 Wiener Neustadt, Austria"
TU Wien,Österreich,Europa,"Getreidemarkt 9, 1060 Wien",Forschungspartner,3,,"48.2004037,16.3616487",180.1858368,"Getreidemarkt 9, 1060 Wien, Austria"
Noble Powder,Österreich,Europa,"Peter Tunner‐Straße 19, 8700 Leoben",Forschungspartner,1,,"47.3836504,15.0914095",542.4605713,"Peter Tunner-Straße 19, 8700 Leoben, Austria"
CEST,Österreich,Europa,"Viktor‐Kaplan‐Straße 2, 2700 Wiener Neustadt",Forschungspartner,1,,"47.8373309,16.2526272",268.0038757,"Viktor Kaplan-Straße 2, 2700 Wiener Neustadt, Austria"
RHP-Technology,Österreich,Europa,"Forschungszentrum Seibersdorf, Gebäude CA, 2444 Seibersdorf",Forschungspartner,1,,"47.97709829999999,16.5093025",184.3267975,"Forschungs- u. Technologiezentrum, Gebäude Ca, 2444 Seibersdorf, Austria"
E. Hawle Amaturenwerke,Österreich,Europa,"Wagrainer Straße 13, 4840 Vöcklabruck",Forschungspartner,1,,"48.0031342,13.662782",424.7086792,"Wagrainer Str. 13, 4840 Schöndorf, Austria"
Wild Elektronik,Österreich,Europa,"Industriestraße 4, 9241 Wernberg",Forschungspartner,1,,"46.6203946,13.9432704",577.5400391,"Industriestraße 4, 9241 Wernberg, Austria"
Wien Energie,Österreich,Europa,"Thomas‐Klestil‐Platz 14, 1030 Wien",Forschungspartner,2,,"48.192051,16.4129976",161.0009003,"Thomas-Klestil-Platz 14, 1030 Wien, Austria"
Joanneum Research,Österreich,Europa,"Leonhardstraße 59, 8010 Graz",Forschungspartner,2,,"47.0740519,15.4550116",367.9380493,"Leonhardstraße 59, 8010 Graz, Austria"
Amateq GmbH,Österreich,Europa,"Untermühlberg 1, 4890 Frankenmarkt",Forschungspartner,1,,"47.9902902,13.4461938",508.9734497,"Untermühlberg 1, 4890, Austria"
Schiebel Elektronische Geräte,Österreich,Europa,"Margaretenstraße 112, 1050 Wien",Forschungspartner,1,,"48.1888586,16.3540467",180.1528778,"Margaretenstraße 112, 1050 Wien, Austria"
Kerkoc,Österreich,Europa,"Dirmhirngasse 112, 1230 Wien",Forschungspartner,1,,"48.1389826,16.2844772",227.7457886,"Dirmhirngasse 112, 1230 Wien, Austria"
Cubicure,Österreich,Europa,"Gutheil‐Schoder‐Gasse 17, 1230 Wien",Forschungspartner,1,,"48.1553803,16.3351326",192.1126862,"Gutheil-Schoder-Gasse 17, 1230 Wien, Austria"
Primetals Technologies,Österreich,Europa,"Turmstraße 44, 4031 Linz",Forschungspartner,1,,"48.27461270000001,14.3218696",257.2145691,"BG47, Turmstraße 44, 4031 Linz, Austria"
Faigle Kunststoffe Gmbh,Österreich,Europa,"Landstraße 31, 6971 Hard",Forschungspartner,1,,"47.4861466,9.6892684",399.1905212,"Landstraße 31, 6971 Hard, Austria"
Frauenhofer,Österreich,Europa,"Theresianumgasse 27, 1040 Wien",Forschungspartner,1,,"48.191396,16.3735764",188.0975647,"Theresianumgasse 27, 1040 Wien, Austria"
ASMAG,Österreich,Europa,"Liesenwaldstraße 3a, 4644 Scharnstein",Forschungspartner,1,,"47.8757807,13.93928",499.8407898,"Liesenwaldstraße 3a, 4644 Mühldorf, Austria"
SIMCharacters,Österreich,Europa,"Rüdigergasse 10, 1050 Wien",Forschungspartner,1,,"48.1939249,16.3571794",176.703064,"Rüdigergasse 10, 1050 Wien, Austria"
Imerys Technology Center,Österreich,Europa,"Seebacher Allee 64, 9524 Villach",Forschungspartner,1,,"46.6200765,13.8703514",493.5041809,"Seebacher Allee 64, 9524 Villach, Austria"
AIT,Österreich,Europa,"Giefinggasse 4, 1210 Wien",Forschungspartner,3,,"48.2693843,16.4266624",162.4521027,"Giefinggasse 4, 1210 Wien, Austria"
Austrian Solar Innovation Center,Österreich,Europa,"Franz-Fritsch-Straße 11, 4600 Catfish",Forschungspartner,1,,"48.1551615,14.0112881",319.4189148,"Franz-Fritsch-Straße 11, 4600 Wels, Austria"
